NN;lambda;dataset;dataset2;method;accuracy;precision;recall;f1;AUROC
LeNet;0,000;MNIST;FashionMNIST;Mahalanobis;0,8526;0,7799;0,9823;0,8695;0,9648
LeNet;0,001;MNIST;FashionMNIST;Mahalanobis;0,9359;0,9024;0,9776;0,9385;0,9902
LeNet;0,010;MNIST;FashionMNIST;Mahalanobis;0,9856;0,9924;0,9916;0,9920;0,9946
LeNet;0,100;MNIST;FashionMNIST;Mahalanobis;0,9835;0,9900;0,9918;0,9909;0,9953
LeNet;1,000;MNIST;FashionMNIST;Mahalanobis;0,9844;0,9906;0,9921;0,9913;0,9969
LeNet;0,000;MNIST;FashionMNIST;MLP;0,9998;0,9988;0,9989;0,9987;0,9997
LeNet;0,001;MNIST;FashionMNIST;MLP;0,9998;0,9987;0,9991;0,9983;0,9999
LeNet;0,010;MNIST;FashionMNIST;MLP;0,9996;0,9967;0,9972;0,9962;0,9993
LeNet;0,100;MNIST;FashionMNIST;MLP;0,9988;0,9900;0,9919;0,9881;0,9992
LeNet;1,000;MNIST;FashionMNIST;MLP;0,9996;0,9964;0,9966;0,9963;0,9993
LeNet;0,000;MNIST-1..9;MNIST-0;Mahalanobis;0,9771;0,9785;0,9965;0,9874;0,9946
LeNet;0,001;MNIST-1..9;MNIST-0;Mahalanobis;0,9708;0,9743;0,9938;0,9840;0,9919
LeNet;0,010;MNIST-1..9;MNIST-0;Mahalanobis;0,9827;0,9847;0,9962;0,9904;0,9946
LeNet;0,100;MNIST-1..9;MNIST-0;Mahalanobis;0,9808;0,9846;0,9942;0,9894;0,9959
LeNet;1,000;MNIST-1..9;MNIST-0;Mahalanobis;0,9812;0,9848;0,9945;0,9896;0,9962
LeNet;0,000;MNIST-1..9;MNIST-0;MLP;0,9998;0,9985;0,9995;0,9990;0,9997
LeNet;0,001;MNIST-1..9;MNIST-0;MLP;0,9997;0,9987;0,9984;0,9986;0,9999
LeNet;0,010;MNIST-1..9;MNIST-0;MLP;0,9992;0,9971;0,9962;0,9967;0,9993
LeNet;0,100;MNIST-1..9;MNIST-0;MLP;0,9993;0,9980;0,9967;0,9973;0,9992
LeNet;1,000;MNIST-1..9;MNIST-0;MLP;0,9994;0,9973;0,9979;0,9967;0,9993
EfficientNet;0,000;ImageNet-30a;ImageNet-30b;Mahalanobis;0,7190;0,6602;0,9000;0,7617;0,8016
EfficientNet;0,001;ImageNet-30a;ImageNet-30b;Mahalanobis;0,7349;0,6760;0,9000;0,7721;0,8170
EfficientNet;0,010;ImageNet-30a;ImageNet-30b;Mahalanobis;0,7244;0,6655;0,9000;0,7652;0,7906
EfficientNet;0,100;ImageNet-30a;ImageNet-30b;Mahalanobis;0,7960;0,7445;0,9001;0,8149;0,8706
EfficientNet;1,000;ImageNet-30a;ImageNet-30b;Mahalanobis;0,7864;0,7327;0,9000;0,8078;0,8568
EfficientNet;0,000;ImageNet-30a;ImageNet-30b;MLP;0,9736;0,9711;0,9744;0,9727;0,9947
EfficientNet;0,001;ImageNet-30a;ImageNet-30b;MLP;0,9429;0,9733;0,9144;0,9429;0,9788
EfficientNet;0,010;ImageNet-30a;ImageNet-30b;MLP;0,9617;0,9211;0,7910;0,8511;0,9141
EfficientNet;0,100;ImageNet-30a;ImageNet-30b;MLP;0,7969;0,8833;0,7451;0,8083;0,8672
EfficientNet;1,000;ImageNet-30a;ImageNet-30b;MLP;0,8545;0,9633;0,7853;0,8653;0,9182
EfficientNet;0,000;ImageNet-30b;ImageNet-30c;Mahalanobis;0,6452;0,5962;0,8999;0,7172;0,7288
EfficientNet;0,001;ImageNet-30b;ImageNet-30c;Mahalanobis;0,6840;0,6285;0,8999;0,7401;0,7671
EfficientNet;0,010;ImageNet-30b;ImageNet-30c;Mahalanobis;0,6865;0,6307;0,9000;0,7417;0,7825
EfficientNet;0,100;ImageNet-30b;ImageNet-30c;Mahalanobis;0,6899;0,6337;0,9002;0,7438;0,7777
EfficientNet;1,000;ImageNet-30b;ImageNet-30c;Mahalanobis;0,6922;0,6358;0,9002;0,7452;0,7901
EfficientNet;0,000;ImageNet-30b;ImageNet-30c;MLP;0,9617;0,9843;0,9390;0,9611;0,9931
EfficientNet;0,001;ImageNet-30b;ImageNet-30c;MLP;0,9461;0,9510;0,9425;0,9467;0,9719
EfficientNet;0,010;ImageNet-30b;ImageNet-30c;MLP;0,9617;0,9680;0,8682;0,9154;0,9537
EfficientNet;0,100;ImageNet-30b;ImageNet-30c;MLP;0,8700;0,9410;0,8254;0,8794;0,9243
EfficientNet;1,000;ImageNet-30b;ImageNet-30c;MLP;0,8545;0,8730;0,8144;0,8427;0,9136
EfficientNet;0,000;ImageNet-30c;ImageNet-30a;Mahalanobis;0,7085;0,6514;0,8999;0,7557;0,8123
EfficientNet;0,001;ImageNet-30c;ImageNet-30a;Mahalanobis;0,7279;0,6702;0,8999;0,7682;0,8150
EfficientNet;0,010;ImageNet-30c;ImageNet-30a;Mahalanobis;0,7242;0,6665;0,8999;0,7658;0,8091
EfficientNet;0,100;ImageNet-30c;ImageNet-30a;Mahalanobis;0,7449;0,6874;0,9003;0,7796;0,8442
EfficientNet;1,000;ImageNet-30c;ImageNet-30a;Mahalanobis;0,7280;0,6703;0,9001;0,7684;0,8185
EfficientNet;0,000;ImageNet-30c;ImageNet-30a;MLP;0,9617;0,9390;0,9843;0,9611;0,9960
EfficientNet;0,001;ImageNet-30c;ImageNet-30a;MLP;0,9488;0,9780;0,9305;0,9537;0,9765
EfficientNet;0,010;ImageNet-30c;ImageNet-30a;MLP;0,8971;0,9760;0,8539;0,9109;0,9222
EfficientNet;0,100;ImageNet-30c;ImageNet-30a;MLP;0,8712;0,9790;0,8179;0,8912;0,9138
EfficientNet;1,000;ImageNet-30c;ImageNet-30a;MLP;0,8545;0,9800;0,8312;0,8995;0,9358
